Dates,Predictions,Actual
2017-09-29,973.719970703125,973.719970703125
2017-10-02,964.6778573691845,967.469970703125
2017-10-03,959.7451767623425,972.0800170898438
2017-10-04,950.2293944060802,966.780029296875
2017-10-05,936.1163572967052,985.1900024414062
2017-10-06,925.5336451232433,993.6400146484376
2017-10-09,929.1107024848461,992.3099975585938
2017-10-10,945.0329951941967,987.7999877929688
2017-10-11,947.9535195529461,1005.6500244140624
2017-10-12,948.987845748663,1005.6500244140624
2017-10-13,952.5723441541195,1007.8699951171876
2017-10-16,952.0884737670422,1009.3499755859376
2017-10-17,950.6675662696362,1011.0
2017-10-18,949.7412010729313,1012.739990234375
2017-10-19,949.8636940270662,1001.8400268554688
2017-10-20,950.0202843695879,1005.0700073242188
2017-10-23,949.1000461131334,985.5399780273438
2017-10-24,957.2448758631945,988.489990234375
2017-10-25,963.5707277804613,991.4600219726562
2017-10-26,969.3578295260668,991.4199829101562
2017-10-27,974.7334942370653,1033.6700439453123
2017-10-30,976.0977586060762,1033.1300048828123
2017-10-31,979.7402261048555,1033.0400390625
2017-11-01,982.983201816678,1042.5999755859377
2017-11-02,983.7492505460978,1042.969970703125
2017-11-03,983.631985783577,1049.989990234375
2017-11-06,983.6635409705341,1042.6800537109377
2017-11-07,983.8763283155859,1052.3900146484377
2017-11-08,981.2406774424016,1058.2900390625
2017-11-09,979.3324839733541,1047.719970703125
2017-11-10,970.037380900234,1044.1500244140623
2017-11-13,957.6326129101217,1041.199951171875
2017-11-14,948.0774190090597,1041.6400146484377
2017-11-15,943.2495615147054,1036.4100341796877
2017-11-16,944.1623182557523,1048.469970703125
2017-11-17,945.2858311198652,1035.8900146484377
2017-11-20,949.728403236717,1034.6600341796877
2017-11-21,950.2729907296598,1050.300048828125
2017-11-22,946.6594200395048,1051.9200439453123
2017-11-24,948.072890188545,1056.52001953125
2017-11-27,949.324714448303,1072.010009765625
2017-11-28,946.5029204152524,1063.2900390625
2017-11-29,939.8754351399839,1037.3800048828123
2017-11-30,928.2480385564268,1036.1700439453123
2017-12-01,917.1784413121641,1025.0699462890623
2017-12-04,910.6219580434263,1011.8699951171876
2017-12-05,912.8790865205228,1019.5999755859376
2017-12-06,911.5751794837415,1032.719970703125
2017-12-07,904.1584996245801,1044.5699462890623
2017-12-08,900.7285861037672,1049.3800048828123
2017-12-11,907.9348529838026,1051.969970703125
2017-12-12,919.683889772743,1048.77001953125
2017-12-13,923.8584012053907,1051.3900146484377
2017-12-14,921.247176554054,1057.469970703125
2017-12-15,916.2063435576856,1072.0
2017-12-18,912.2478231452405,1085.0899658203123
2017-12-19,909.3291572593153,1079.780029296875
2017-12-20,915.3835462592542,1073.56005859375
2017-12-21,915.3551812693477,1070.8499755859377
2017-12-22,915.3684941120446,1068.8599853515623
2017-12-26,916.4548928327858,1065.8499755859377
2017-12-27,917.1175212450325,1060.199951171875
2017-12-28,917.2162934280932,1055.949951171875
2017-12-29,918.9654967524111,1053.4000244140623
2018-01-02,923.1720478273928,1073.2099609375
2018-01-03,923.6236737705767,1091.52001953125
2018-01-04,921.3473690487444,1095.760009765625
2018-01-05,923.7431252934039,1110.2900390625
2018-01-08,926.8124161697924,1114.2099609375
2018-01-09,933.1206403709948,1112.7900390625
2018-01-10,934.2948206402361,1110.1400146484377
2018-01-11,930.6778987385333,1112.050048828125
2018-01-12,926.3094767071307,1130.6500244140625
2018-01-16,922.4746044613421,1130.699951171875
2018-01-17,925.4104941822588,1139.0999755859375
2018-01-18,922.961186978966,1135.969970703125
2018-01-19,925.3598009087145,1143.5
2018-01-22,923.4664739109576,1164.1600341796875
2018-01-23,921.3125866390765,1176.1700439453125
2018-01-24,919.6520085074008,1171.2900390625
2018-01-25,923.4564263559878,1182.1400146484375
2018-01-26,926.8730623461306,1187.56005859375
2018-01-29,930.8129768110812,1186.47998046875
2018-01-30,934.3321299292147,1177.3699951171875
2018-01-31,925.3605427481234,1182.219970703125
2018-02-01,916.0961765982211,1181.5899658203125
2018-02-02,913.3064954020083,1119.199951171875
2018-02-05,912.9454415179789,1062.3900146484377
2018-02-06,922.1381066180766,1084.4300537109377
2018-02-07,923.4622602798045,1055.4100341796877
2018-02-08,935.2226591445506,1007.7100219726562
2018-02-09,949.0597114898264,1046.27001953125
2018-02-12,952.140725646168,1054.56005859375
2018-02-13,957.3434787131846,1054.1400146484377
2018-02-14,966.8079505302012,1072.699951171875
2018-02-15,970.099456820637,1091.3599853515623
2018-02-16,969.1342738009989,1095.5
2018-02-20,971.6286671496928,1103.5899658203123
2018-02-21,974.6722088195384,1113.75
2018-02-22,976.1834606267512,1109.9000244140623
2018-02-23,978.9563886262476,1128.0899658203125
2018-02-26,980.577919755131,1143.699951171875
2018-02-27,977.9403603412211,1117.510009765625
2018-02-28,965.6134293414652,1103.9200439453123
2018-03-01,959.4904516078532,1071.4100341796877
2018-03-02,974.9491107799113,1084.1400146484377
2018-03-05,987.2780378200114,1094.760009765625
2018-03-06,987.4871202148497,1100.9000244140623
2018-03-07,989.4534325040877,1115.0400390625
2018-03-08,988.4643120206892,1129.3800048828125
2018-03-09,989.0464889444411,1160.8399658203125
2018-03-12,994.6351982988417,1165.9300537109375
2018-03-13,1013.2420727647841,1139.9100341796875
2018-03-14,1010.1269661821425,1148.8900146484375
2018-03-15,997.3075825609267,1150.6099853515625
2018-03-16,992.3334266580641,1134.4200439453125
2018-03-19,988.6916944421828,1100.0699462890623
2018-03-20,985.2214281000197,1095.800048828125
2018-03-21,1002.7964689172804,1094.0
